City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
443,Tuatapere,NZ,71.83,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
447,Olinda,BR,78.8,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
458,Nacala,MZ,76.41,overcast clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
459,Conakry,GN,79.0,broken clouds,9.538,-13.6773,Riviera Royal Hotel
462,Xuddur,SO,65.23,scattered clouds,4.1213,43.8894,Banjanay Hotel
466,Awbari,LY,61.16,clear sky,26.5921,12.7805,فندق أوباري
472,Garango,BF,76.91,overcast clouds,11.8,-0.5506,La Case LAVAL-GARANGO
474,Trairi,BR,77.68,scattered clouds,-3.2778,-39.2689,janelas do mar
478,Udayagiri,IN,60.12,clear sky,20.1333,84.3833,Balaram panda
481,Kaeo,NZ,73.0,overcast clouds,-35.1,173.7833,Bushido Lodge
486,Nova Olimpia,BR,75.43,broken clouds,-14.7972,-57.2881,Motel glamour
488,Sungai Besar,MY,79.56,broken clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
489,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
493,Progreso,MX,77.0,few clouds,21.2833,-89.6667,Playa Linda Hotel
499,Gemena,CD,70.75,few clouds,3.25,19.7667,Hôtel Goshen
504,Plettenberg Bay,ZA,68.61,broken clouds,-34.0527,23.3716,Thanda Vista B&B
505,Santana Do Matos,BR,75.31,clear sky,-5.9575,-36.6556,Pousada Empório
507,Ouesso,CG,74.17,broken clouds,1.6136,16.0517,Hôtel ABENI
509,Riohacha,CO,77.4,overcast clouds,11.5444,-72.9072,Hotel Taroa
511,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
512,Nsanje,MW,74.98,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
517,Cobija,BO,74.46,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
519,Geraldton,AU,73.4,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
