City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Vaini,TO,2021-02-02 23:51:07,-21.2,-175.2,82.4,89,75,8.05
59,Teguise,ES,2021-02-02 23:51:07,29.0605,-13.564,60.8,88,20,6.91
60,Yatou,CN,2021-02-02 23:51:07,37.15,122.3833,30.38,85,0,8.79
61,Puerto Ayora,EC,2021-02-02 23:51:07,-0.7393,-90.3518,77.95,82,63,8.63
62,Albany,US,2021-02-02 23:49:20,42.6001,-73.9662,27.0,87,100,1.01
63,New Norfolk,AU,2021-02-02 23:51:07,-42.7826,147.0587,63.0,55,97,1.01
64,Quatre Cocos,MU,2021-02-02 23:51:07,-20.2078,57.7625,79.0,78,40,6.91
65,Avarua,CK,2021-02-02 23:51:07,-21.2078,-159.775,84.2,70,40,6.91
66,Tiksi,RU,2021-02-02 23:51:07,71.6872,128.8694,-0.72,93,100,14.14
67,Mechetinskaya,RU,2021-02-02 23:51:08,46.7713,40.456,43.79,92,75,6.33
68,Saint George,US,2021-02-02 23:51:08,37.1041,-113.5841,66.2,39,90,2.21
69,Jalingo,NG,2021-02-02 23:51:08,8.8833,11.3667,78.75,17,0,5.03
70,Dzerzhinsk,RU,2021-02-02 23:48:51,56.2389,43.4631,1.4,85,52,0.27
71,Busselton,AU,2021-02-02 23:51:08,-33.65,115.3333,68.0,79,52,4.0
72,Kapaa,US,2021-02-02 23:47:09,22.0752,-159.319,78.8,69,20,18.41
73,Palu,ID,2021-02-02 23:50:13,-0.8917,119.8707,80.28,74,69,1.81
74,Kattivakkam,IN,2021-02-02 23:51:08,13.2167,80.3167,75.2,73,20,2.3
75,Lagoa,PT,2021-02-02 23:51:09,39.05,-27.9833,56.1,65,35,34.16
76,Cabo San Lucas,MX,2021-02-02 23:49:01,22.8909,-109.9124,77.0,50,40,8.05
77,Moose Factory,CA,2021-02-02 23:51:09,51.2585,-80.6094,1.4,85,75,4.61
78,Yarmouth,US,2021-02-02 23:51:09,41.7057,-70.2286,37.4,87,90,20.71
79,Dikson,RU,2021-02-02 23:51:09,73.5069,80.5464,-24.02,84,2,13.31
80,Oriximina,BR,2021-02-02 23:51:09,-1.7656,-55.8661,77.25,91,99,3.31
