City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
360,Zuwarah,LY,32.9312,12.082,72.07,41,100,26.46,overcast clouds
361,Portland,US,45.5234,-122.6762,46.99,87,90,5.75,overcast clouds
362,Takoradi,GH,4.8845,-1.7554,79.57,86,0,11.9,clear sky
363,Bereda,ES,43.2686,-7.5406,35.01,100,62,3.0,broken clouds
364,Batemans Bay,AU,-35.7167,150.1833,75.0,73,55,3.0,broken clouds
365,Kidal,ML,18.4411,1.4078,70.88,19,100,11.56,overcast clouds
366,Thinadhoo,MV,0.5333,72.9333,81.43,74,0,12.97,clear sky
367,Snyder,US,32.7179,-100.9176,50.0,22,1,6.91,clear sky
368,Half Moon Bay,US,37.4636,-122.4286,61.0,71,1,8.05,clear sky
369,Moindou,NC,-21.6924,165.677,87.8,62,40,10.36,scattered clouds
370,Quchan,IR,37.106,58.5095,40.44,86,100,7.02,overcast clouds
371,Comodoro Rivadavia,AR,-45.8667,-67.5,55.4,71,40,8.05,scattered clouds
372,Windhoek,NA,-22.5594,17.0832,66.99,71,0,8.84,clear sky
373,Storslett,NO,69.7678,21.0247,26.53,94,100,13.94,snow
374,Port Macquarie,AU,-31.4333,152.9167,86.0,48,100,1.99,overcast clouds
375,Kuusamo,FI,65.9667,29.1833,17.6,86,90,10.36,overcast clouds
376,Shitanjing,CN,39.2342,106.3439,28.63,76,0,1.07,clear sky
377,Namibe,AO,-15.1961,12.1522,70.61,81,35,5.08,scattered clouds
378,Sapele,NG,5.8941,5.6767,79.68,88,26,4.45,scattered clouds
379,Srednekolymsk,RU,67.45,153.6833,-13.18,84,0,1.61,clear sky
380,Mayumba,GA,-3.432,10.6554,79.63,82,100,2.26,light rain
381,Maracai,BR,-22.6106,-50.6672,67.23,84,0,3.4,clear sky
382,Tabou,CI,4.423,-7.3528,78.53,90,0,7.31,clear sky
383,Fecamp,FR,49.7579,0.3746,42.8,87,90,17.27,overcast clouds
384,Ostrov,RU,57.3439,28.3537,1.4,92,1,4.47,clear sky
385,Halifax,CA,44.6453,-63.5724,32.0,86,40,10.36,scattered clouds
386,Ust-Tsilma,RU,65.441,52.1498,-33.09,80,95,9.53,overcast clouds
387,Nouadhibou,MR,20.931,-17.0347,60.8,72,0,16.11,clear sky
388,Baykit,RU,61.67,96.37,19.04,94,100,6.02,light snow
389,Bud,US,39.447,-86.1758,21.99,67,100,10.89,overcast clouds
